STATION,MV_19_01,MV_19_02,MV_19_03,MV_19_04,MV_19_05,MV_19_06,MV_19_07,MV_19_08,MV_19_09,MV_19_10,MV_19_11,MV_19_12,19_VOLUME,MV_21_01,MV_21_02,MV_21_03,MV_21_04,MV_21_05,MV_21_06,MV_21_07,MV_21_08,MV_21_09,MV_21_10,MV_21_11,MV_21_12,21_VOLUME,Yearly_change,Yearly_percentage_change
219 ST,112396.0,116903.0,123938.0,120819.0,117068.0,114817.0,111250.0,109869.0,107910.0,114431.0,120593.0,119297.0,1389291.0,49505.0,47679.0,53096.0,54837.0,60821.0,60016.0,58188.0,57876.0,64389.0,72823.0,68688.0,68453.0,716371.0,-672920.0,-48.43621674652754
W 8 ST-AQUARIUM,74841.0,78410.0,84168.0,109794.0,108567.0,156912.0,190842.0,183204.0,126282.0,107426.0,82158.0,79005.0,1381609.0,34822.0,33932.0,39578.0,46647.0,58711.0,78454.0,92885.0,88190.0,75160.0,54398.0,50982.0,48694.0,702453.0,-679156.0,-49.15688881586614
BURKE AV,101903.0,105715.0,113110.0,113529.0,115253.0,114439.0,106849.0,104906.0,115815.0,117430.0,111415.0,110597.0,1330961.0,50946.0,48089.0,54990.0,55797.0,57820.0,57966.0,57645.0,56602.0,60755.0,70013.0,67469.0,66162.0,704254.0,-626707.0,-47.08680419636639
NEREID AV,104260.0,109675.0,116799.0,115632.0,119518.0,111453.0,108419.0,108219.0,105848.0,109461.0,113176.0,107543.0,1330003.0,51233.0,48596.0,56238.0,56784.0,60061.0,59097.0,61307.0,61233.0,65451.0,73649.0,71344.0,70226.0,735219.0,-594784.0,-44.720500630449706
MORRIS PARK,102200.0,105365.0,114746.0,112363.0,124367.0,111748.0,93757.0,94299.0,112877.0,116367.0,113128.0,101494.0,1302711.0,35867.0,35974.0,42921.0,44950.0,44628.0,47385.0,49385.0,49714.0,48989.0,60573.0,45925.0,53993.0,560304.0,-742407.0,-56.989385980466885
75 AV,100045.0,102397.0,108816.0,106772.0,111954.0,111321.0,101141.0,99152.0,109997.0,108888.0,105002.0,105965.0,1271450.0,33140.0,34526.0,38740.0,38982.0,43448.0,46563.0,47352.0,46562.0,46465.0,56536.0,56140.0,55398.0,543852.0,-727598.0,-57.22584450823862
ALABAMA AV,95488.0,101987.0,106836.0,103506.0,102624.0,110105.0,106797.0,96793.0,106601.0,107548.0,109787.0,101154.0,1249226.0,57962.0,56777.0,60598.0,58120.0,64522.0,65069.0,57178.0,61508.0,64530.0,70137.0,68174.0,67440.0,752015.0,-497211.0,-39.80152510434461
238 ST,69559.0,98597.0,105361.0,106207.0,107784.0,96879.0,95635.0,103039.0,112912.0,121266.0,117777.0,111533.0,1246549.0,32631.0,35861.0,36157.0,44225.0,49198.0,50025.0,48595.0,53466.0,53090.0,61328.0,63090.0,60395.0,588061.0,-658488.0,-52.824878925738176
BAYCHESTER AV,88763.0,93656.0,108168.0,105638.0,111889.0,103370.0,88587.0,100311.0,106897.0,113124.0,106857.0,96100.0,1223360.0,35018.0,34097.0,39762.0,41895.0,43291.0,41501.0,41658.0,42880.0,44775.0,57744.0,46252.0,52973.0,521846.0,-701514.0,-57.34321867643212
BEACH 67 ST,81631.0,87660.0,93553.0,95763.0,92560.0,111835.0,124984.0,118707.0,95266.0,99920.0,94521.0,87897.0,1184297.0,41719.0,37265.0,38160.0,45238.0,60701.0,57785.0,60773.0,57996.0,58117.0,56548.0,52611.0,53939.0,620852.0,-563445.0,-47.576325870959735
LIBERTY AV,92482.0,94305.0,102055.0,96175.0,103814.0,96553.0,91059.0,91672.0,107396.0,106904.0,103968.0,97845.0,1184228.0,42653.0,42993.0,47763.0,47240.0,49633.0,47747.0,46860.0,48963.0,53215.0,61635.0,57778.0,58262.0,604742.0,-579486.0,-48.93365129012319
AVENUE X,91450.0,93487.0,87187.0,91991.0,104504.0,101411.0,93113.0,92431.0,100760.0,104981.0,107336.0,104930.0,1173581.0,35558.0,35446.0,38221.0,39478.0,38376.0,41061.0,39994.0,42781.0,50924.0,55607.0,49795.0,43623.0,510864.0,-662717.0,-56.46964291344185
WHITLOCK AV,91416.0,90607.0,96501.0,95954.0,95489.0,95167.0,86665.0,91602.0,99587.0,99504.0,99869.0,94918.0,1137279.0,45245.0,44201.0,50204.0,53247.0,57062.0,55954.0,45201.0,56018.0,50123.0,68998.0,64673.0,66182.0,657108.0,-480171.0,-42.22103810938213
RIT-MANHATTAN,77233.0,73411.0,70567.0,115371.0,100537.0,102834.0,102648.0,112743.0,107268.0,104475.0,82969.0,75922.0,1125978.0,33085.0,31942.0,38165.0,42492.0,49124.0,53372.0,53680.0,53486.0,60216.0,78268.0,86108.0,89668.0,669606.0,-456372.0,-40.53116490730725
88 ST,86834.0,94477.0,97375.0,98220.0,93627.0,98596.0,87944.0,91404.0,100588.0,94949.0,95859.0,82903.0,1122776.0,37618.0,35853.0,40083.0,40617.0,42571.0,42508.0,42982.0,43931.0,46938.0,53937.0,53115.0,53786.0,533939.0,-588837.0,-52.444744098555724
AVENUE N,85432.0,83954.0,80931.0,87277.0,100330.0,98164.0,88613.0,90089.0,101978.0,94224.0,105217.0,101990.0,1118199.0,37207.0,36775.0,38961.0,39518.0,38795.0,42611.0,37211.0,40256.0,50077.0,53830.0,48982.0,49111.0,513334.0,-604865.0,-54.09278670433438
MIDDLETOWN RD,89471.0,87574.0,100349.0,96603.0,99238.0,97793.0,84597.0,84963.0,94836.0,94258.0,93033.0,88620.0,1111335.0,36205.0,33543.0,38859.0,39320.0,43155.0,45391.0,42471.0,45231.0,46208.0,59584.0,57343.0,56289.0,543599.0,-567736.0,-51.085946181844356
RIT-ROOSEVELT,86250.0,76402.0,46372.0,109135.0,96430.0,92176.0,96554.0,112420.0,114812.0,100548.0,81489.0,74775.0,1087363.0,31309.0,30406.0,36218.0,38127.0,48007.0,50710.0,57875.0,58380.0,61870.0,64784.0,60940.0,55946.0,594572.0,-492791.0,-45.31982419854271
121 ST,73022.0,74953.0,85827.0,102417.0,98440.0,93700.0,88287.0,80684.0,85918.0,90453.0,90501.0,82223.0,1046425.0,44341.0,41690.0,45717.0,47032.0,49940.0,50133.0,41085.0,43161.0,50046.0,58068.0,54521.0,56336.0,582070.0,-464355.0,-44.375373294789405
21 ST,83220.0,87582.0,79640.0,66146.0,88488.0,90991.0,90141.0,94721.0,101128.0,90431.0,87730.0,81944.0,1042162.0,35347.0,34930.0,38906.0,41546.0,46393.0,49951.0,51240.0,50384.0,52726.0,63039.0,61365.0,54744.0,580571.0,-461591.0,-44.29167442297839
BEACH 25 ST,69604.0,86924.0,93400.0,90940.0,88444.0,91846.0,83260.0,84511.0,85776.0,92031.0,89402.0,85793.0,1041931.0,39943.0,35421.0,34225.0,42258.0,45513.0,44798.0,46073.0,45566.0,50844.0,60683.0,56839.0,58768.0,560931.0,-481000.0,-46.16428535094934
BEACH 60 ST,79150.0,82793.0,88440.0,88101.0,83819.0,91055.0,90165.0,89669.0,80770.0,91790.0,88277.0,84282.0,1038311.0,38526.0,34386.0,31463.0,39174.0,42568.0,43708.0,44003.0,43984.0,47366.0,52799.0,50309.0,53540.0,521826.0,-516485.0,-49.74280345676777
BOTANIC GARDEN,72114.0,77314.0,90318.0,89489.0,99942.0,88980.0,84066.0,71180.0,98775.0,93277.0,85351.0,76569.0,1027375.0,23773.0,24144.0,29235.0,34638.0,38576.0,39510.0,43253.0,41635.0,49569.0,61386.0,57561.0,61455.0,504735.0,-522640.0,-50.871395546903514
BRONX PARK EAST,78425.0,81651.0,88623.0,88377.0,87373.0,89393.0,81505.0,78820.0,91896.0,90534.0,83821.0,82330.0,1022748.0,36647.0,34872.0,40126.0,42324.0,46111.0,46600.0,46142.0,43872.0,51302.0,57861.0,55274.0,51807.0,552938.0,-469810.0,-45.936046807229154
BUSHWICK AV,91903.0,70377.0,75118.0,91975.0,86383.0,84871.0,75943.0,75484.0,84243.0,78077.0,82828.0,81507.0,978709.0,39476.0,38557.0,43953.0,46009.0,52423.0,52939.0,51169.0,53608.0,55837.0,60807.0,59805.0,57454.0,612037.0,-366672.0,-37.46486442854822
AVENUE P,73611.0,73482.0,69123.0,76527.0,86703.0,83045.0,78957.0,79821.0,88604.0,83185.0,87782.0,87419.0,968259.0,33337.0,33365.0,35594.0,35459.0,35285.0,38683.0,33642.0,36371.0,42352.0,46358.0,44329.0,42827.0,457602.0,-510657.0,-52.73971117232063
BAY 50 ST,70488.0,73437.0,80682.0,70001.0,83364.0,77645.0,74122.0,70833.0,86219.0,85003.0,82463.0,77021.0,931278.0,26667.0,24172.0,29488.0,30257.0,33413.0,33229.0,34670.0,32575.0,51218.0,83688.0,78044.0,76566.0,533987.0,-397291.0,-42.660838117082115
55 ST,72436.0,75509.0,79292.0,76640.0,82402.0,72346.0,66133.0,64876.0,75318.0,60612.0,73509.0,70997.0,870070.0,39964.0,37240.0,42968.0,38264.0,39346.0,38307.0,35069.0,36434.0,37865.0,46687.0,45358.0,45078.0,482580.0,-387490.0,-44.53549714390796
AVENUE I,60569.0,58965.0,57812.0,64603.0,73688.0,66876.0,58637.0,59726.0,74630.0,64006.0,77174.0,73106.0,789792.0,27628.0,27249.0,28908.0,28788.0,28457.0,31270.0,26696.0,28391.0,32973.0,40486.0,38498.0,37901.0,377245.0,-412547.0,-52.2348922247883
AQUEDUCT N.COND,60148.0,62224.0,66698.0,69130.0,54588.0,69829.0,68676.0,68957.0,71879.0,66977.0,65571.0,56899.0,781576.0,25421.0,24156.0,29305.0,31981.0,33311.0,31200.0,33039.0,32633.0,33909.0,37898.0,37695.0,36444.0,386992.0,-394584.0,-50.485685333224154
215 ST,58223.0,57522.0,61947.0,60607.0,59951.0,56279.0,53972.0,57753.0,63037.0,73459.0,66494.0,58921.0,728165.0,15106.0,20814.0,19347.0,22961.0,27178.0,28482.0,26039.0,26012.0,34692.0,40157.0,38423.0,36920.0,336131.0,-392034.0,-53.83862174095157
ATLANTIC AV,61363.0,56513.0,55698.0,53835.0,58026.0,57990.0,50147.0,50791.0,59300.0,54711.0,54245.0,53496.0,666115.0,27994.0,22795.0,29700.0,29324.0,32510.0,30691.0,30234.0,30957.0,33344.0,37514.0,36256.0,35761.0,377080.0,-289035.0,-43.39115618174039
CYPRESS HILLS,48840.0,45941.0,51908.0,51893.0,53120.0,55092.0,52480.0,47611.0,56080.0,58983.0,59784.0,55139.0,636871.0,27856.0,29515.0,34682.0,31818.0,33143.0,32231.0,28934.0,26972.0,31419.0,37307.0,36204.0,37728.0,387809.0,-249062.0,-39.1071347258707
E 143/ST MARY'S,48960.0,48954.0,53322.0,49199.0,52929.0,53328.0,44167.0,47762.0,56590.0,59399.0,60691.0,56701.0,632002.0,25962.0,25675.0,28048.0,29285.0,33062.0,33228.0,29520.0,33200.0,37441.0,46846.0,44049.0,44515.0,410831.0,-221171.0,-34.99530064778276
AQUEDUCT RACETR,52295.0,46609.0,52156.0,55146.0,38489.0,54884.0,56423.0,54865.0,53322.0,50789.0,50478.0,40892.0,606348.0,15834.0,15418.0,19503.0,21307.0,21893.0,19577.0,21691.0,20541.0,20254.0,20290.0,20383.0,19269.0,235960.0,-370388.0,-61.08505346764564
BEACH 36 ST,41898.0,45628.0,49361.0,49832.0,47161.0,51844.0,51571.0,50998.0,46318.0,50467.0,50161.0,47626.0,582865.0,23188.0,20134.0,19464.0,24280.0,27164.0,27106.0,27478.0,27344.0,27510.0,31164.0,29792.0,31046.0,315670.0,-267195.0,-45.84166144819126
BEACH 90 ST,30726.0,32862.0,35004.0,36532.0,46998.0,55514.0,76343.0,65807.0,92031.0,38305.0,39090.0,33003.0,582215.0,14011.0,17845.0,33293.0,14755.0,13441.0,23463.0,27214.0,27790.0,23871.0,25523.0,24670.0,19218.0,265094.0,-317121.0,-54.4680229812011
NEPTUNE AV,43677.0,42920.0,41945.0,43362.0,49536.0,49739.0,42149.0,42536.0,50226.0,49604.0,50441.0,49300.0,555435.0,17666.0,18131.0,19542.0,21168.0,20020.0,21790.0,20428.0,21318.0,26399.0,33078.0,29443.0,27610.0,276593.0,-278842.0,-50.20245393250335
ROCKAWAY PARK B,32489.0,31406.0,34255.0,34533.0,37712.0,46283.0,59404.0,51743.0,42465.0,36092.0,33821.0,31543.0,471746.0,16597.0,16400.0,17604.0,17373.0,15292.0,24280.0,28414.0,28856.0,24623.0,23303.0,22494.0,22047.0,257283.0,-214463.0,-45.46154074438363
BEACH 44 ST,33786.0,36493.0,39859.0,38335.0,36030.0,39446.0,38521.0,39016.0,34820.0,38807.0,37102.0,35233.0,447448.0,18257.0,16737.0,15838.0,19479.0,20275.0,20429.0,20767.0,20241.0,21165.0,24024.0,22969.0,24466.0,244647.0,-202801.0,-45.323925908708944
BEACH 98 ST,19361.0,18837.0,21741.0,21559.0,22436.0,31808.0,40937.0,36066.0,28731.0,22058.0,20416.0,19605.0,303555.0,7263.0,7343.0,8210.0,8713.0,7185.0,12727.0,16516.0,15899.0,16042.0,16583.0,14240.0,14105.0,144826.0,-158729.0,-52.29002981337813
TOMPKINSVILLE,16493.0,16045.0,18234.0,19015.0,20203.0,17953.0,15353.0,15019.0,16491.0,15938.0,13935.0,13775.0,198454.0,6790.0,6246.0,6869.0,7239.0,7692.0,7602.0,7911.0,7558.0,9511.0,10678.0,10432.0,9713.0,98241.0,-100213.0,-50.49684057766535
BEACH 105 ST,9898.0,9788.0,11511.0,11301.0,11660.0,18177.0,27281.0,22673.0,16767.0,11914.0,10769.0,10036.0,171775.0,3952.0,4218.0,4266.0,4691.0,4925.0,9338.0,11788.0,10828.0,9914.0,8160.0,7243.0,7123.0,86446.0,-85329.0,-49.67486537621889
BROAD CHANNEL,7737.0,8858.0,9272.0,9192.0,9369.0,10276.0,10405.0,10087.0,9978.0,9213.0,8917.0,8373.0,111677.0,3599.0,3559.0,4057.0,4171.0,4922.0,5287.0,5242.0,5004.0,5214.0,5491.0,5210.0,5194.0,56950.0,-54727.0,-49.00471896630461
